Datum,Vreme,Kanal,Sport,Ekipe,Takmičenje
23.05.,02:00,Arena Premium 1,Hokej,"Colorado Avalanche - Vegas Golden Knights, G2",NHL
23.05.,08:00,Arena Premium 3,Basket 3x3,"Šangaj, grupna faza",FIBA 3x3 World Tour
23.05.,09:00,Arena Premium 1,Mali fudbal,Arenino Svetsko Prvenstvo,ARENINO SVETSKO PRVENSTVO
23.05.,09:00,Arena Premium 2,Košarka,Insep U18 - Cedevita Olimpija U18,ANGT
23.05.,11:15,Arena Premium 2,Košarka,Crvena zvezda U18 - Zalgiris U18,ANGT
23.05.,12:20,Arena Premium 4,Hokej,Letonija - SAD,SVETSKO PRVENSTVO
23.05.,13:00,Arena Premium 5,Atletika,Sjamen,DIJAMANTSKA LIGA
23.05.,13:30,Arena Premium 2,Košarka,Real Madrid U18 - Panathinaikos U18,ANGT
23.05.,13:30,Adrenalin,Moto Sport,Zandvoort: Trka 1,DTM
23.05.,14:00,Arena Sport 1,Tenis,Finale,WTA 250 - Rabat
23.05.,14:00,Arena Sport 3,Tenis,Finale,WTA 500 - Strasbourg
23.05.,14:30,Arena Premium 3,Košarka,"Trier - Bayern, G3",NEMAČKA LIGA
23.05.,14:30,Arena Tenis,Tenis,Finale,ATP 500 - Hamburg
23.05.,15:00,Arena Sport 4,Tenis,Finale,ATP 250 - Geneva
23.05.,15:45,Arena Premium 5,Košarka,Next Gen Team U18 - Barcelona U18,ANGT
23.05.,16:00,Arena Premium 2,Košarka,"CSKA - Lokomotiv, G5",VTB LIGA
23.05.,16:00,Arena Premium 4,Fudbal,"Celtic - Dunfermline, finale",ŠKOTSKI KUP
23.05.,16:20,Arena Sport 1,Hokej,Slovačka - Češka,SVETSKO PRVENSTVO
23.05.,16:30,Arena Premium 3,Fudbal,"Hull - Middlesbrough, finale",CHAMPIONSHIP
23.05.,16:30,Arena Sport 5,Košarka,"Ulm - Bamberg, G3",NEMAČKA LIGA
23.05.,16:45,Adrenalin,Moto Sport,Zandvoort - Trka 1,FORMULA REGIONAL
23.05.,17:30,Arena Sport 2,Fudbal,Jagiellonia - Zaglebie,POLJSKA LIGA
23.05.,17:30,Arena Sport 3,Fudbal,Gornik - Radomiak,POLJSKA LIGA
23.05.,18:00,Arena Premium 2,Fudbal,Bologna - Inter,ITALIJANSKA LIGA
23.05.,18:00,Arena Premium 5,Košarka,Strasbourg - Chalon,FRANCUSKA LIGA
23.05.,18:00,Adrenalin,Moto Sport,Kanada: Sprint,FORMULA 1
23.05.,18:45,Arena Sport 9,Fudbal,Dinamo - Lokomotiva,HRVATSKA LIGA
23.05.,20:00,Arena Premium 1,Fudbal,"Bayern - Stuttgart, finale",NEMAČKI KUP
23.05.,20:00,Arena Sport 7,Košarka,"Trieste - Brescia, G4",ITALIJANSKA LIGA
23.05.,20:10,Adrenalin,Moto Sport,Kanada: Sprint Trka,FORMULA 2
23.05.,20:20,Arena Sport 8,Hokej,Norveška - Švedska,SVETSKO PRVENSTVO
23.05.,20:45,Arena Sport 6,Fudbal,Lazio - Pisa,ITALIJANSKA LIGA
23.05.,21:00,Arena Premium 2,Fudbal,Valencia - Barcelona,ŠPANSKA LIGA
23.05.,21:00,Arena Premium 3,Fudbal,Real Madrid - Athletic,ŠPANSKA LIGA
23.05.,21:00,Arena Premium 4,Fudbal,Celta - Sevilla,ŠPANSKA LIGA
23.05.,21:00,Arena Premium 5,Fudbal,Espanyol - Real Sociedad,ŠPANSKA LIGA
23.05.,21:00,Arena Sport 1,Fudbal,Betis - Levante,ŠPANSKA LIGA
23.05.,21:00,Arena Sport 2,Fudbal,Girona - Elche,ŠPANSKA LIGA
23.05.,21:00,Arena Sport 3,Fudbal,Getafe - Osasuna,ŠPANSKA LIGA
23.05.,21:00,Arena Sport 4,Fudbal,Alaves - Rayo Vallecano,ŠPANSKA LIGA
23.05.,21:00,Arena Sport 5,Fudbal,Mallorca - Oviedo,ŠPANSKA LIGA
23.05.,21:00,Arena 1X2,Fudbal,Multiprenos,ŠPANSKA LIGA
23.05.,22:00,Adrenalin,Moto Sport,Kanada: Kvalifikacije,FORMULA 1
24.05.,00:00,Arena Premium 3,Fudbal,Mirassol - Fluminense,BRAZILSKA LIGA
24.05.,01:00,Arena Premium 2,Hokej,"Carolina Hurricanes - Montreal Canadiens, G2",NHL
24.05.,02:00,Arena Premium 1,Košarka,"Cleveland - New York, G3",NBA
24.05.,09:00,Arena Premium 1,Mali fudbal,Arenino Svetsko Prvenstvo,ARENINO SVETSKO PRVENSTVO
24.05.,09:00,Arena Premium 2,Basket 3x3,"Šangaj, četvrtfinala",FIBA 3x3 World Tour
24.05.,12:00,Arena Premium 2,Basket 3x3,"Šangaj, polufinala i finale",FIBA 3x3 World Tour
24.05.,12:15,Arena Premium 3,Fudbal,Ajax - Utrecht,HOLANDSKA LIGA
24.05.,13:00,Arena Sport 7,Golf,"Soudal Open, dan 4",DP WORLD TOUR
24.05.,13:30,Adrenalin,Moto Sport,Zandvoort: Trka 2,DTM
24.05.,14:00,Arena Premium 2,Fudbal,"Bolton - Stockport, finale",LEAGUE ONE
24.05.,14:00,Arena Premium 5,Skokovi u vodu,Indonezija: Bali,Red Bull Cliff Diving World Series
24.05.,15:00,Arena Premium 3,Fudbal,Parma - Sassuolo,ITALIJANSKA LIGA
24.05.,15:00,Arena Premium 4,Rukomet,RNL - Magdeburg,BUNDESLIGA
24.05.,16:45,Adrenalin,Moto Sport,Zandvoort - Trka 2,FORMULA REGIONAL
24.05.,17:00,Arena Premium 1,Fudbal,Crystal Palace - Arsenal,ENGLESKA LIGA
24.05.,17:00,Arena Premium 2,Fudbal,Manchester City - Aston Villa,ENGLESKA LIGA
24.05.,17:00,Arena Premium 3,Fudbal,West Ham - Leeds,ENGLESKA LIGA
24.05.,17:00,Arena Premium 4,Fudbal,Tottenham - Everton,ENGLESKA LIGA
24.05.,17:00,Arena Premium 5,Fudbal,Liverpool - Brentford,ENGLESKA LIGA
24.05.,17:00,Arena Sport 1,Fudbal,Brighton - Manchester United,ENGLESKA LIGA
24.05.,17:00,Arena Sport 2,Fudbal,Sunderland - Chelsea,ENGLESKA LIGA
24.05.,17:00,Arena Sport 3,Fudbal,Nottingham Forest - Bournemouth,ENGLESKA LIGA
24.05.,17:00,Arena Sport 5,Rukomet,"Tatabanya - Ohrid, finale",EHF: European Cup (M)
24.05.,17:00,Arena Sport 8,Košarka,Finale,ANGT
24.05.,17:00,Arena Sport 9,Fudbal,Fulham - Newcastle,ENGLESKA LIGA
24.05.,17:00,Arena 1X2,Fudbal,Multiprenos,ENGLESKA LIGA
24.05.,18:00,Arena Sport 4,Fudbal,Napoli - Udinese,ITALIJANSKA LIGA
24.05.,18:05,Adrenalin,Moto Sport,Kanada: Trka,FORMULA 2
24.05.,18:15,Arena Sport 7,Fudbal,"Sporting - Torreense, finale",PORTUGALSKI KUP
24.05.,18:30,Arena Sport 6,Fudbal,Malaga - Racing,ŠPANSKA 2. LIGA
24.05.,19:00,Arena Premium 1,Fudbal,Najava 38. kola,ENGLESKA LIGA
24.05.,19:00,Arena Sport 5,Rukomet,"Guardes - Mihalovce, finale G2",EHF EUROCUP (Ž)
24.05.,20:00,Arena Premium 1,Košarka,Final 4: Finale,EVROLIGA
24.05.,20:00,Arena Sport 8,Fudbal,"Catanzaro - Monza, finale G1",ITALIJANSKA 2. LIGA
24.05.,20:00,Arena Sport 10,Rukomet,"Naisa - Crvena zvezda, finale G2",SUPERLIGA SRBIJE Ž
24.05.,20:30,Arena Premium 3,Fudbal,"River Plate - Belgrano, finale",ARGENTINSKA LIGA
24.05.,20:45,Arena Sport 3,Fudbal,Torino - Juventus,ITALIJANSKA LIGA
24.05.,20:45,Arena Sport 4,Fudbal,Milan - Cagliari,ITALIJANSKA LIGA
24.05.,20:45,Arena Sport 5,Fudbal,Verona - Roma,ITALIJANSKA LIGA
24.05.,20:45,Arena Sport 6,Fudbal,Cremonese - Como,ITALIJANSKA LIGA
24.05.,20:45,Arena Sport 7,Fudbal,Lecce - Genoa,ITALIJANSKA LIGA
24.05.,21:00,Arena Premium 2,Fudbal,Villarreal - Atletico,ŠPANSKA LIGA
24.05.,21:15,Adrenalin,Moto Sport,Kanada: Trka,FORMULA 1
24.05.,23:30,Arena Premium 1,Fudbal,Corinthians - Atletico MG,BRAZILSKA LIGA
25.05.,00:00,Arena Premium 5,Moto Sport,Charlotte,NASCAR CUP SERIES
25.05.,02:00,Arena Premium 1,Hokej,"Vegas Golden Knights - Colorado Avalanche, G3",NHL
25.05.,16:00,Arena Premium 2,Fudbal,"Notts County - Salford City, finale",LEAGUE TWO
25.05.,16:20,Arena Premium 3,Hokej,Češka - Norveška,SVETSKO PRVENSTVO
25.05.,16:30,Arena Premium 4,Košarka,"Ulm - Bamberg, G4",NEMAČKA LIGA
25.05.,17:00,Arena Sport 1,Fudbal,Rapid - Ried,AUSTRIJSKA LIGA
25.05.,18:30,Arena Premium 5,Košarka,"Zenit - UNICS, G6",VTB LIGA
25.05.,18:30,Arena Sport 2,Košarka,"Trier - Bayern, G4",NEMAČKA LIGA
25.05.,19:00,Arena Premium 1,Košarka,"Budućnost - Dubai, G2",ABA LIGA
25.05.,19:00,Arena Premium 4,Košarka,"Nanterre - Le Mans, G1",FRANCUSKA LIGA
25.05.,20:20,Arena Sport 3,Hokej,Slovenija - Italija,SVETSKO PRVENSTVO
25.05.,20:30,Arena Premium 2,Fudbal,"Paderborn - Wolfsburg, G2",NEMAČKA LIGA
25.05.,21:00,Arena Premium 4,Košarka,"Monaco - Bourg, G1",FRANCUSKA LIGA
26.05.,02:00,Arena Premium 1,Košarka,"Cleveland - New York, G4",NBA
26.05.,02:00,Arena Premium 2,Hokej,"Montreal Canadiens - Carolina Hurricanes, G3",NHL
26.05.,10:00,Arena Premium 1,Mali fudbal,Četvrtfinala - revanš utakmice,ARENINA LIGA ŠAMPIONA
26.05.,12:20,Arena Premium 2,Hokej,Norveška - Danska,SVETSKO PRVENSTVO
26.05.,16:20,Arena Premium 2,Hokej,SAD - Austrija,SVETSKO PRVENSTVO
26.05.,17:00,Arena Premium 1,Košarka,"Bahcesehir - Trabzonspor, G1",TURSKA LIGA
26.05.,19:00,Arena Premium 2,Košarka,"Lokomotiv - CSKA, G6",VTB LIGA
26.05.,19:00,Arena Premium 4,Košarka,"Asvel - Cholet, G1",FRANCUSKA LIGA
26.05.,19:30,Arena Premium 1,Košarka,"Besiktas - Galatasaray, G1",TURSKA LIGA
26.05.,20:00,Arena Premium 3,Košarka,Joventut - Unicaja,ŠPANSKA LIGA
26.05.,20:20,Arena Sport 1,Hokej,Češka - Kanada,SVETSKO PRVENSTVO
26.05.,20:45,Arena Premium 5,Fudbal,Saint-Etienne - Nice,FRANCUSKA LIGA
26.05.,21:00,Arena Premium 4,Košarka,"Četvrtfinale, G1",FRANCUSKA LIGA
26.05.,21:15,Arena Premium 2,Košarka,Zaragoza - Valencia,ŠPANSKA LIGA
27.05.,00:00,Arena Premium 2,Fudbal,Lanus - Mirassol,COPA LIBERTADORES
27.05.,02:30,Arena Premium 2,Fudbal,Flamengo - Cusco,COPA LIBERTADORES
27.05.,03:00,Arena Premium 1,Hokej,"Vegas Golden Knights - Colorado Avalanche, G4",NHL
27.05.,10:00,Arena Premium 1,Mali fudbal,Četvrtfinala - revanš utakmice,ARENINA LIGA ŠAMPIONA
27.05.,17:00,Arena Premium 2,Košarka,"Efes - Turk Telekom, G1",TURSKA LIGA
27.05.,18:30,Arena Premium 5,Košarka,"Bamberg - Ulm, G5",NEMAČKA LIGA
27.05.,18:30,Arena Sport 1,Košarka,"Alba - Vechta, G5",NEMAČKA LIGA
27.05.,18:30,Arena Sport 2,Košarka,"Bayern - Trier, G5",NEMAČKA LIGA
27.05.,19:00,Arena Premium 2,Košarka,"Le Mans - Nanterre, G2",FRANCUSKA LIGA
27.05.,19:00,Arena Sport 3,Bejzbol,Miami Marlins - Toronto Blue Jays,Major League Baseball
27.05.,19:30,Arena Premium 3,Košarka,"Fenerbahce - Erokspor, G1",TURSKA LIGA
27.05.,21:00,Arena Premium 1,Fudbal,"Crystal Palace - Rayo Vallecano, finale",UEFA LIGA KONFERENCIJA
27.05.,21:00,Arena Premium 2,Košarka,Real Madrid - Baskonia,ŠPANSKA LIGA
27.05.,21:00,Arena Premium 5,Košarka,"Bourg - Monaco, G2",FRANCUSKA LIGA
28.05.,00:00,Arena Premium 3,Fudbal,Independiente Del Valle - Rosario,COPA LIBERTADORES
28.05.,02:00,Arena Premium 1,Košarka,"New York - Cleveland, G5*",NBA
28.05.,02:00,Arena Premium 2,Hokej,"Montreal Canadiens - Carolina Hurricanes, G4",NHL
28.05.,02:30,Arena Premium 3,Fudbal,River Plate - Blooming,COPA SUDAMERICANA
28.05.,10:00,Arena Premium 1,Mali fudbal,Stari Grad,ARENINA LIGA ŠAMPIONA
28.05.,16:20,Arena Sport 1,Hokej,QF1,SVETSKO PRVENSTVO
28.05.,16:20,Arena Sport 2,Hokej,QF2,SVETSKO PRVENSTVO
28.05.,17:00,Arena Premium 2,Košarka,"Panathinaikos - PAOK, PF1 G1",GRČKA LIGA
28.05.,17:00,Arena Premium 4,Košarka,Olympiacos - AEK/Aris PF2 G1,GRČKA LIGA
28.05.,17:00,Arena Premium 5,Košarka,"Trabzonspor - Bahcesehir, G2",TURSKA LIGA
28.05.,18:00,Arena Premium 1,Košarka,"UNICS - Zenit, G7",VTB LIGA
28.05.,19:00,Arena Premium 3,Rukomet,"Crvena zvezda - Naisa, finale G3",SUPERLIGA SRBIJE Ž
28.05.,19:00,Arena Premium 4,Košarka,"Cholet - Asvel, G2",FRANCUSKA LIGA
28.05.,19:00,Arena Sport 4,Bejzbol,Los Angeles Angels - Detroit Tigers,Major League Baseball
28.05.,19:00,Arena Sport 10,Rukomet,"Crvena zvezda - Naisa, finale G3",SUPERLIGA SRBIJE Ž
28.05.,19:30,Arena Premium 2,Košarka,"Galatasaray - Besiktas, G2",TURSKA LIGA
28.05.,20:00,Arena Premium 1,Košarka,"Dubai - Budućnost, G3",ABA LIGA
28.05.,20:00,Arena Premium 5,Pikado,Play-Offs London,Premier League
28.05.,20:20,Arena Sport 1,Hokej,QF3,SVETSKO PRVENSTVO
28.05.,20:20,Arena Sport 2,Hokej,QF4,SVETSKO PRVENSTVO
28.05.,20:45,Arena Sport 3,Fudbal,Irska - Katar,PRIJATELJSKE UTAKMICE
28.05.,21:00,Arena Premium 3,Košarka,"Četvrtfinale, G2",FRANCUSKA LIGA
28.05.,21:00,Arena Premium 4,Fudbal,Casa Pia - Torreense,PORTUGALSKA LIGA
