"Datum","Vreme","Kanal","Sport","Ekipe","Takmičenje"
"09.08.","18:45","Arena 5 Premium","Fudbal","Feyenoord - Breda","HOLANDSKA LIGA"
"09.08.","19:00","Arena 4 Premium","Fudbal","Radnik - Čukarički","MOZZARTBET SUPERLIGA"
"09.08.","19:00","Arena Sport 4","Fudbal","Marseille - Aston Villa","PRIJATELJSKE UTAKMICE"
"09.08.","19:15","Arena Sport 6","Fudbal","Bodo/Glimt - Tromso","NORVEŠKA LIGA"
"09.08.","19:30","Arena Sport 3","Fudbal","Salzburg - GAK","AUSTRIJSKA LIGA"
"09.08.","19:30","Arena Sport 5","Fudbal","Akhmat - Zenit","RUSKA LIGA"
"09.08.","20:00","Arena 1 Premium","Fudbal","Crvena zvezda - TSC","MOZZARTBET SUPERLIGA"
"09.08.","20:00","Arena Sport 2","Fudbal","Spartak - Mladost","MOZZARTBET SUPERLIGA"
"09.08.","20:00","Arena Sport 10","Fudbal","Crvena zvezda - TSC","MOZZARTBET SUPERLIGA"
"09.08.","20:15","Arena Sport 1x2","Fudbal","Widzew - Wisla Plock","POLJSKA LIGA"
"09.08.","20:30","Arena 2 Premium","Fudbal","Keiserslautern - Schalke","NEMAČKA 2. LIGA"
"09.08.","21:00","Arena 4 Premium","Fudbal","OFK Beograd - Vojvodina","MOZZARTBET SUPERLIGA"
"09.08.","21:00","Arena 5 Premium","Fudbal","PSV - Sparta Rotterdam","HOLANDSKA LIGA"
"09.08.","21:30","Arena 3 Premium","Fudbal","Boca Juniors - Racing","ARGENTINSKA LIGA"
"09.08.","22:00","Arena 1 Premium","Basket 3x3","BIG 3 - Los Angeles","BIG3"
"09.08.","23:30","Arena 4 Premium","Fudbal","Bragantino - Internacional","BRAZILSKA LIGA"
"09.08.","23:30","Arena 5 Premium","Fudbal","Independiente - River Plate","ARGENTINSKA LIGA"
"10.08.","01:00","Arena Tenis","Tenis","Center Court - Dan 3, drugi deo","Masters - Cincinnati"
"10.08.","01:00","Arena Sport 1","Tenis","Grandstand Court - Dan 3, drugi deo","Masters - Cincinnati"
"10.08.","01:45","Arena 2 Premium","Fudbal","Atletico Tucuman - Rosario Central","ARGENTINSKA LIGA"
"10.08.","13:00","Arena Sport 8","Golf","Nexo Championship - finale","DP WORLD TOUR 2025"
"10.08.","13:30","Arena 1 Premium","Fudbal","Hertha - Karlsruhe","NEMAČKA 2. LIGA"
"10.08.","14:00","Arena 4 Premium","Fudbal","Young Boys - Sion","ŠVAJCARSKA LIGA"
"10.08.","14:00","Arena Sport 1","Fudbal","AIK - Djurgarden","ŠVEDSKA LIGA"
"10.08.","14:30","Arena 2 Premium","Fudbal","Ajax - Telstar","HOLANDSKA LIGA"
"10.08.","14:30","Arena 3 Premium","Fudbal","AZ Alkmaar - Groningen","HOLANDSKA LIGA"
"10.08.","14:30","Arena 5 Premium","Fudbal","Orenburg - Krasnodar","RUSKA LIGA"
"10.08.","14:45","Arena Sport 4","Konjički sport","Sombor - Derbi","KASAČKE TRKE"
"10.08.","16:00","Arena 1 Premium","Fudbal","Community Shield: Crystal Palace - Liverpool",""
"10.08.","16:30","Arena 4 Premium","Fudbal","Lugano - Basel","ŠVAJCARSKA LIGA"
"10.08.","17:00","Arena 2 Premium","Fudbal","Sochi - Dinamo","RUSKA LIGA"
"10.08.","17:00","Arena 5 Premium","Fudbal","Sturm - Rapid","AUSTRIJSKA LIGA"
"10.08.","17:00","Arena Tenis","Tenis","Center Court - Dan 4, prvi deo","Masters - Cincinnati"
"10.08.","17:00","Arena Sport 1","Tenis","Grandstand Court - Dan 4, prvi deo","Masters - Cincinnati"
"10.08.","17:30","Arena 3 Premium","Fudbal","Leicester - Sheffield Wed","CHAMPIONSHIP"
"10.08.","17:30","Arena Sport 2","Fudbal","Jagiellonia - Cracovia","POLJSKA LIGA"
"10.08.","18:00","Arena Sport 7","Basket 3x3","3x3 BG U23 League - VII stop","BG U23 League"
"10.08.","19:30","Arena 3 Premium","Fudbal","Rostov - Nizhny Novgorod","RUSKA LIGA"
"10.08.","20:00","Arena Sport 2","Fudbal","Radnički Niš - Novi Pazar","MOZZARTBET SUPERLIGA"
"10.08.","20:00","Adrenalin","Moto Sport","Watkins Glen","NASCAR CUP SERIES"
"10.08.","20:15","Arena Sport 4","Fudbal","Legia - GKS","POLJSKA LIGA"
"10.08.","20:30","Arena 1 Premium","Fudbal","Napredak - Partizan","MOZZARTBET SUPERLIGA"
"10.08.","20:30","Arena Sport 10","Fudbal","Napredak - Partizan","MOZZARTBET SUPERLIGA"
"10.08.","21:00","Arena 2 Premium","Fudbal","Villarreal - Aston Villa","PRIJATELJSKE UTAKMICE"
"10.08.","21:00","Arena 5 Premium","Fudbal","Palmeiras - Ceara","BRAZILSKA LIGA"
"10.08.","21:30","Arena 3 Premium","Fudbal","Braga - Tondela","PORTUGALSKA LIGA"
"10.08.","23:30","Arena 5 Premium","Fudbal","Cruzeiro - Santos","BRAZILSKA LIGA"
"11.08.","01:00","Arena Tenis","Tenis","Center Court - Dan 4, drugi deo","Masters - Cincinnati"
"11.08.","01:00","Arena Sport 1","Tenis","Grandstand Court - Dan 4, drugi deo","Masters - Cincinnati"
"11.08.","17:00","Arena 5 Premium","Tenis","Center Court - Dan 5, prvi deo","Masters - Cincinnati"
"11.08.","17:00","Arena Tenis","Tenis","Grandstand Court - Dan 5, prvi deo","Masters - Cincinnati"
"11.08.","19:00","Arena 1 Premium","Fudbal","Javor - Radnički 1923","MOZZARTBET SUPERLIGA"
"11.08.","19:00","Arena 2 Premium","Fudbal","IMT - Železničar","MOZZARTBET SUPERLIGA"
"11.08.","19:00","Arena 4 Premium","Fudbal","Lechia - Motor","POLJSKA LIGA"
"11.08.","20:30","Arena 3 Premium","Fudbal","Trabzonspor - Kocaelispor","TURSKA LIGA"
"11.08.","20:45","Arena Sport 1x2","Fudbal","Amiens - Reims","FRANCUSKA 2. LIGA"
"11.08.","21:45","Arena 2 Premium","Fudbal","Porto - Vitoria","PORTUGALSKA LIGA"
"12.08.","01:00","Arena 5 Premium","Tenis","Center Court - Dan 5, drugi deo","Masters - Cincinnati"
"12.08.","01:00","Arena Tenis","Tenis","Grandstand Court - Dan 5, drugi deo","Masters - Cincinnati"
"12.08.","17:00","Arena 5 Premium","Tenis","Center Court - Dan 6, prvi deo","Masters - Cincinnati"
"12.08.","17:00","Arena Tenis","Tenis","Grandstand Court - Dan 6, prvi deo","Masters - Cincinnati"
"12.08.","17:30","Arena 4 Premium","Atletika","Gyulai István Memorial","World Athletics Continental Tour"
"12.08.","19:00","Arena 2 Premium","Fudbal","Copenhagen - Malmö","UEFA LIGA ŠAMPIONA - Kvalifikacije"
"12.08.","19:00","Arena 3 Premium","Fudbal","Pafos - Dynamo Kiev","UEFA LIGA ŠAMPIONA - Kvalifikacije"
"12.08.","19:30","Arena 4 Premium","Fudbal","Club Brugge - Salzburg","UEFA LIGA ŠAMPIONA - Kvalifikacije"
"12.08.","21:00","Arena 1 Premium","Fudbal","Crvena zvezda - Lech","UEFA LIGA ŠAMPIONA - Kvalifikacije"
"12.08.","21:00","Arena Sport 1","Fudbal","Bromley - Ipswich","ENGLESKI LIGA KUP"
"13.08.","00:00","Arena 1 Premium","Fudbal","Fortaleza - Velez","COPA LIBERTADORES"
"13.08.","00:00","Arena 2 Premium","Fudbal","Once Caldas - Huracan","COPA SUDAMERICANA"
"13.08.","01:00","Arena 5 Premium","Tenis","Center Court - Dan 6, drugi deo","Masters - Cincinnati"
"13.08.","01:00","Arena Tenis","Tenis","Grandstand Court - Dan 6, drugi deo","Masters - Cincinnati"
"13.08.","02:30","Arena 1 Premium","Fudbal","Peñarol - Racing","COPA LIBERTADORES"
"13.08.","17:00","Arena 5 Premium","Tenis","Center Court - Dan 7, prvi deo","Masters - Cincinnati"
"13.08.","17:00","Arena Tenis","Tenis","Grandstand Court - Dan 7","Masters - Cincinnati"
"13.08.","20:10","Arena Sport 2","Bejzbol","Milwaukee Brewers - Pittsburgh Pirates","Major League Baseball"
"13.08.","21:00","Arena 3 Premium","Fudbal","Birmingham - Sheffield United","ENGLESKI LIGA KUP"
"14.08.","00:00","Arena 1 Premium","Fudbal","Cerro Porteño - Estudiantes","COPA LIBERTADORES"
"14.08.","00:00","Arena 2 Premium","Fudbal","Bolivar - Cienciano","COPA SUDAMERICANA"
"14.08.","01:00","Arena 5 Premium","Tenis","Center Court - Dan 7, drugi deo","Masters - Cincinnati"
"14.08.","02:30","Arena 1 Premium","Fudbal","Flamengo - Internacional","COPA LIBERTADORES"
"14.08.","17:00","Arena Tenis","Tenis","Center Court - Dan 8, prvi deo","Masters - Cincinnati"
"14.08.","19:05","Arena Sport 2","Bejzbol","Baltimore Orioles - Seattle Mariners","Major League Baseball"
"14.08.","21:00","Arena 1 Premium","Fudbal","Hibernian - Partizan","UEFA LIGA KONFERENCIJA - Kvalifikacije"
"14.08.","21:00","Arena 3 Premium","Fudbal","Legia - AEK Larnaca","UEFA LIGA EVROPE - Kvalifikacije"
"14.08.","21:00","Arena 5 Premium","Tenis","Grandstand Court - Dan 8","Masters - Cincinnati"
"14.08.","21:00","Arena Tenis","Tenis","Cincinnati - ATP četvrtfinale 1","Masters - Cincinnati"
