Datum,Vreme,Kanal,Sport,Ekipe,Takmičenje
31.05.,02:00,Adrenalin,Moto Sport,Japan - Live Stage 3,WRC
31.05.,07:00,Adrenalin,Moto Sport,Japan - Live Stage 4,WRC
31.05.,09:00,Arena Premium 1,Mali fudbal,Arenino Svetsko Prvenstvo,ARENINO SVETSKO PRVENSTVO
31.05.,10:00,Arena Tenis,Tenis,Girls Final,ITF - Kuršumlijska banja
31.05.,11:00,Adrenalin,Moto Sport,Italija: Trka,MOTO 3
31.05.,11:10,Arena Sport 7,Moto Sport,"Španija, Superpole Race",SUPERBIKE WORLD CHAMPIONSHIP
31.05.,12:00,Arena Tenis,Tenis,Boys Final,ITF - Kuršumlijska banja
31.05.,12:00,Arena Sport 8,Golf,"Austrian Alpine Open, dan 4",DP WORLD TOUR
31.05.,12:15,Adrenalin,Moto Sport,Italija: Trka,MOTO 2
31.05.,14:00,Adrenalin,Moto Sport,Italija: Trka,MOTO GP
31.05.,14:15,Arena Sport 7,Moto Sport,Spa-Francorchamps - Trka 3,FORMULA REGIONAL
31.05.,14:15,Arena Sport 9,Konjički sport,Sombor - Državno prvenstvo,KASAČKE TRKE
31.05.,15:00,Arena Premium 3,Rukomet,"Montpellier - Flensburg, meč za 3. mesto",EHF LIGA EVROPE
31.05.,15:00,Arena Sport 1,Fudbal,Švajcarska - Jordan,PRIJATELJSKE UTAKMICE
31.05.,15:30,Arena Premium 2,Hokej,"Kanada - Norveška, meč za 3. mesto",SVETSKO PRVENSTVO
31.05.,15:30,Arena Sport 7,Moto Sport,"Španija, Trka 2",SUPERBIKE WORLD CHAMPIONSHIP
31.05.,16:00,Arena Premium 5,Basket 3x3,Niš,BG U23 League
31.05.,16:00,Arena 1X2,Fudbal,Bragantino - Internacional,BRAZILSKA LIGA
31.05.,17:00,Arena Premium 1,Fudbal,Zelenortska Ostrva - Srbija,PRIJATELJSKE UTAKMICE
31.05.,18:00,Arena Premium 3,Rukomet,"Kiel - Melsungen, finale",EHF LIGA EVROPE
31.05.,18:15,Arena Sport 3,Bejzbol,Toronto Blue Jays - Baltimore Orioles,Major League Baseball
31.05.,18:30,Arena Sport 2,Fudbal,Deportivo - Las Palmas,ŠPANSKA 2. LIGA
31.05.,18:30,Arena 1X2,Fudbal,Castellon - Eibar,ŠPANSKA 2. LIGA
31.05.,19:00,Arena Premium 4,Košarka,Barcelona - Valencia,ŠPANSKA LIGA
31.05.,20:00,Arena Premium 1,Košarka,"FMP - Spartak, finale",KLS
31.05.,20:00,Arena Premium 2,Košarka,"Brescia - Milano, polufinale G2",ITALIJANSKA LIGA
31.05.,20:00,Arena Sport 1,Atletika,Rabat,DIJAMANTSKA LIGA
31.05.,20:00,Arena Sport 4,Rukomet,"Ohrid - Tatabanya, finale G2",EHF: European Cup (M)
31.05.,20:00,Arena Sport 10,Košarka,"FMP - Spartak, finale",KLS
31.05.,20:20,Arena Premium 5,Hokej,"Švajcarska - Finska, finale",SVETSKO PRVENSTVO
31.05.,20:45,Arena Premium 3,Fudbal,Nemačka - Finska,PRIJATELJSKE UTAKMICE
31.05.,21:00,Arena Premium 4,Fudbal,Palmeiras - Chapecoense,BRAZILSKA LIGA
31.05.,21:30,Arena Sport 3,Jedrenje,"Njujork, dan 2",SailGP
01.06.,01:00,Adrenalin,Moto Sport,Nashville,NASCAR CUP SERIES
01.06.,01:30,Arena Premium 2,Fudbal,Cruzeiro - Fluminense,BRAZILSKA LIGA
01.06.,13:20,Arena Premium 5,Basket 3x3,Kina - Japan,FIBA 3X3 World Cup
01.06.,13:45,Arena Premium 5,Basket 3x3,Novi Zeland - Holandija,FIBA 3X3 World Cup
01.06.,15:10,Arena Premium 5,Basket 3x3,Japan - Nemačka,FIBA 3X3 World Cup
01.06.,15:35,Arena Premium 5,Basket 3x3,Kina - Holandija,FIBA 3X3 World Cup
01.06.,17:30,Arena Premium 5,Basket 3x3,Nemačka - Novi Zeland,FIBA 3X3 World Cup
01.06.,17:55,Arena Premium 5,Basket 3x3,Austrija - Madagaskar,FIBA 3X3 World Cup
01.06.,18:00,Arena Sport 2,Fudbal,Bugarska - Crna Gora,PRIJATELJSKE UTAKMICE
01.06.,18:30,Arena Sport 1,Košarka,"Zenit - Lokomotiv, G1",VTB LIGA
01.06.,18:30,Arena Sport 5,Košarka,"Alba - Bamberg, polufinale G2",NEMAČKA LIGA
01.06.,19:00,Arena Premium 1,Fudbal,Norveška - Švedska,PRIJATELJSKE UTAKMICE
01.06.,19:00,Arena Premium 2,Košarka,"Fenerbahce - Efes, polufinale G1",TURSKA LIGA
01.06.,19:20,Arena Premium 5,Basket 3x3,Španija - Australija,FIBA 3X3 World Cup
01.06.,19:30,Arena Sport 3,Fudbal,Turska - Sev. Makedonija,PRIJATELJSKE UTAKMICE
01.06.,19:45,Arena Premium 5,Basket 3x3,Madagaskar - Srbija,FIBA 3X3 World Cup
01.06.,20:00,Arena Premium 3,Košarka,"Virtus Bologna - Venezia , polufinale G2",ITALIJANSKA LIGA
01.06.,20:00,Arena Sport 4,Košarka,"Monaco - Nanterre, polufinale G1",FRANCUSKA LIGA
01.06.,20:30,Arena Sport 5,Košarka,"Bayern - Bonn, polufinale G2",NEMAČKA LIGA
01.06.,20:45,Arena Sport 2,Fudbal,Austrija - Tunis,PRIJATELJSKE UTAKMICE
01.06.,21:10,Arena Premium 5,Basket 3x3,Australija - Austrija,FIBA 3X3 World Cup
01.06.,21:35,Arena Premium 5,Basket 3x3,Španija - Srbija,FIBA 3X3 World Cup
02.06.,10:00,Arena Premium 1,Mali fudbal,Polufinala,ARENINA LIGA ŠAMPIONA
02.06.,13:20,Arena Premium 5,Basket 3x3,Belgija - Litvanija,FIBA 3X3 World Cup
02.06.,13:45,Arena Premium 5,Basket 3x3,Puerto Rico - Brazil,FIBA 3X3 World Cup
02.06.,15:10,Arena Premium 5,Basket 3x3,Francuska - Belgija,FIBA 3X3 World Cup
02.06.,15:35,Arena Premium 5,Basket 3x3,Brazil - Litvanija,FIBA 3X3 World Cup
02.06.,17:30,Arena Premium 5,Basket 3x3,Puerto Rico - Francuska,FIBA 3X3 World Cup
02.06.,17:55,Arena Premium 5,Basket 3x3,Češka - Mongolija,FIBA 3X3 World Cup
02.06.,18:00,Arena Sport 1,Fudbal,Hrvatska - Belgija,PRIJATELJSKE UTAKMICE
02.06.,18:30,Arena Premium 1,Košarka,"CSKA - UNICS, finale G1",VTB LIGA
02.06.,19:00,Arena Premium 2,Košarka,"Murcia - Barcelona, G1",ŠPANSKA LIGA
02.06.,19:00,Arena Premium 3,Košarka,"Besiktas - Bahcesehir, polufinale G1",TURSKA LIGA
02.06.,19:20,Arena Premium 5,Basket 3x3,SAD - Letonija,FIBA 3X3 World Cup
02.06.,19:45,Arena Premium 5,Basket 3x3,Mongolija - Poljska,FIBA 3X3 World Cup
02.06.,20:00,Arena Premium 4,Košarka,"Paris - Cholet, polufinale, G1",FRANCUSKA LIGA
02.06.,20:45,Arena Premium 1,Fudbal,Vels - Gana,PRIJATELJSKE UTAKMICE
02.06.,21:00,Arena Premium 2,Košarka,"Real Madrid - Tenerife, G1",ŠPANSKA LIGA
02.06.,21:10,Arena Premium 5,Basket 3x3,Češka - SAD,FIBA 3X3 World Cup
02.06.,21:35,Arena Premium 5,Basket 3x3,Poljska - Letonija,FIBA 3X3 World Cup
03.06.,02:00,Arena Premium 1,Hokej,"Carolina Hurricanes - Las Vegas Golden Knights, Finale G1",NHL
03.06.,09:00,Arena Premium 2,Odbojka,Tajland  - Srbija,Liga Nacija (Ž)
03.06.,10:00,Arena Premium 1,Mali fudbal,Polufinala - revanš utakmice,ARENINA LIGA ŠAMPIONA
03.06.,13:20,Arena Premium 5,Basket 3x3,Holandija - Japan,FIBA 3X3 World Cup
03.06.,13:45,Arena Premium 5,Basket 3x3,Novi Zeland - Kina,FIBA 3X3 World Cup
03.06.,15:10,Arena Premium 5,Basket 3x3,Holandija - Nemačka,FIBA 3X3 World Cup
03.06.,15:35,Arena Premium 5,Basket 3x3,Japan - Novi Zeland,FIBA 3X3 World Cup
03.06.,17:00,Arena Premium 2,Odbojka,Ukrajina - SAD,Liga Nacija (Ž)
03.06.,17:30,Arena Premium 5,Basket 3x3,Nemačka - Kina,FIBA 3X3 World Cup
03.06.,17:55,Arena Premium 5,Basket 3x3,Australija - Madagaskar,FIBA 3X3 World Cup
03.06.,18:00,Arena Sport 2,Atletika,Paavo Nurmi Games,World Athletics Continental Tour
03.06.,18:30,Arena Sport 1,Košarka,"Zenit - Lokomotiv, G2",VTB LIGA
03.06.,19:00,Arena Premium 2,Košarka,"Valencia - Bilbao, G1",ŠPANSKA LIGA
