Datum,Vreme,Kanal,Sport,Ekipe,Takmičenje
13.05.,16:00,Arena Premium 1,Košarka,"Olympiacos - Kolossos, G1",GRČKA LIGA
13.05.,18:00,Arena Premium 3,Košarka,"UNICS - Zenit, G2",VTB LIGA
13.05.,18:00,Arena Premium 4,Hokej,"Lokomotiv - AK Bars, finale G2",KHL
13.05.,18:30,Arena Premium 2,Fudbal,PAOK - AEK,GRČKA LIGA
13.05.,19:00,Arena Premium 5,Fudbal,Villarreal - Sevilla,ŠPANSKA LIGA
13.05.,19:00,Arena Tenis,Tenis,"Centralni teren, dan 8 popodnevna sesija",ATP/WTA 1000 - Rome
13.05.,19:00,Arena Sport 2,Fudbal,Espanyol - Athletic,ŠPANSKA LIGA
13.05.,19:00,Arena Sport 4,Fudbal,Brest - Strasbourg,FRANCUSKA LIGA
13.05.,19:10,Arena Sport 7,Bejzbol,Los Angeles Angels - Cleveland Guardians,Major League Baseball
13.05.,19:30,Arena Sport 3,Fudbal,"Genclerbirligi - Trabzonspor, polufinale 2",TURSKI KUP
13.05.,20:30,Arena Sport 1,Vaterpolo,Novi Beograd - Barceloneta,Liga šampiona
13.05.,20:30,Arena Sport 6,Vaterpolo,Brescia - Olympiacos,Liga šampiona
13.05.,20:30,Arena 1X2,Fudbal,Rakow - Jagiellonia,POLJSKA LIGA
13.05.,21:00,Arena Premium 2,Fudbal,"Lazio - Inter, finale",ITALIJANSKI KUP
13.05.,21:00,Arena Premium 3,Košarka,"Valencia - Panathinaikos, G5",EVROLIGA
13.05.,21:00,Arena Premium 4,Fudbal,Manchester City - Crystal Palace,ENGLESKA LIGA
13.05.,21:00,Arena Sport 2,Fudbal,Lens - PSG,FRANCUSKA LIGA
13.05.,21:00,Arena Sport 4,Fudbal,Hearts - Falkirk,ŠKOTSKA LIGA
13.05.,21:00,Arena Sport 5,Fudbal,"Stockport - Stevenage, polufinale G2",LEAGUE ONE
13.05.,21:30,Arena Premium 5,Fudbal,Alaves - Barcelona,ŠPANSKA LIGA
13.05.,21:30,Arena Sport 3,Fudbal,Getafe - Mallorca,ŠPANSKA LIGA
13.05.,23:45,Arena Premium 2,Fudbal,Rosario Central - Racing,ARGENTINSKA LIGA
14.05.,02:00,Arena Premium 1,Košarka,"Detroit - Cleveland, G5",NBA
14.05.,02:00,Arena Premium 3,Hokej,"Colorado Avalanche - Minnesota Wild, G5",NHL
14.05.,02:30,Arena Premium 2,Fudbal,River Plate - Gimnasia LP,ARGENTINSKA LIGA
14.05.,10:00,Arena Premium 1,Mali fudbal,Stari Grad,ARENINA LIGA ŠAMPIONA
14.05.,13:00,Arena Tenis,Tenis,"Centralni teren, dan 9 prepodnevna sesija",ATP/WTA 1000 - Rome
14.05.,16:00,Arena Premium 1,Fudbal,Finale,"Turnir ,,Miljan Miljanić"""
14.05.,16:30,Arena Premium 3,Fudbal,Basel - St.Gallen,ŠVAJCARSKA LIGA
14.05.,16:30,Arena 1X2,Fudbal,Thun - Young Boys,ŠVAJCARSKA LIGA
14.05.,18:00,Arena Premium 2,Rukomet,Srbija - Mađarska,SVETSKO PRVENSTVO: KVALIFIKACIJE
14.05.,18:30,Arena Premium 4,Košarka,"CSKA - Lokomotiv, G2",VTB LIGA
14.05.,18:30,Arena Premium 5,Košarka,Trier - Rostock,NEMAČKA LIGA
14.05.,18:40,Arena Sport 1,Bejzbol,Washington Nationals - Cincinnati Reds,Major League Baseball
14.05.,19:00,Arena Premium 1,Fudbal,Valencia - Rayo Vallecano,ŠPANSKA LIGA
14.05.,19:00,Arena Premium 3,Košarka,Bilbao - Real Madrid,ŠPANSKA LIGA
14.05.,19:00,Arena Tenis,Tenis,"Centralni teren, dan 9 popodnevna sesija",ATP/WTA 1000 - Rome
14.05.,20:00,Arena Premium 2,Fudbal,Girona - Real Sociedad,ŠPANSKA LIGA
14.05.,20:00,Arena Sport 5,Pikado,Birmingham,Premier League
14.05.,21:00,Arena Premium 3,Fudbal,"Bradford - Bolton, polufinale G2",LEAGUE ONE
14.05.,21:30,Arena Premium 1,Fudbal,Real Madrid - Oviedo,ŠPANSKA LIGA
15.05.,03:30,Arena Premium 1,Hokej,"Anaheim Ducks - Vegas Golden Knights, G6",NHL
15.05.,09:00,Adrenalin,Moto Sport,Katalonija: Slobodan Trening 1,MOTO 3
15.05.,09:50,Adrenalin,Moto Sport,Katalonija: Slobodan Trening 1,MOTO 2
15.05.,10:45,Adrenalin,Moto Sport,Katalonija: Slobodan Trening 1,MOTO GP
15.05.,13:15,Adrenalin,Moto Sport,Katalonija: Trening,MOTO 3
15.05.,14:05,Adrenalin,Moto Sport,Katalonija: Trening,MOTO 2
15.05.,14:15,Arena Premium 2,Basket 3x3,"Zadar, grupna faza",FIBA 3x3 World Tour
15.05.,15:00,Adrenalin,Moto Sport,Katalonija: Trening,MOTO GP
15.05.,15:30,Arena Tenis,Tenis,ATP Polufinale 1,ATP/WTA 1000 - Rome
15.05.,16:20,Arena Premium 4,Hokej,Kanada - Švedska,SVETSKO PRVENSTVO
15.05.,18:00,Arena Premium 3,Košarka,"Panathinaikos - Mykonos, G1",GRČKA LIGA
15.05.,18:00,Arena Premium 5,Hokej,"AK Bars - Lokomotiv, finale G3",KHL
15.05.,18:00,Arena 1X2,Fudbal,Zaglebie - Pogon,POLJSKA LIGA
15.05.,19:00,Arena Premium 1,Košarka,"Crvena zvezda - Cedevita Olimpija, G3",ABA LIGA
15.05.,19:00,Arena Tenis,Tenis,ATP Polufinale 2,ATP/WTA 1000 - Rome
15.05.,19:00,Arena Sport 2,Fudbal,Rizespor - Besiktas,TURSKA LIGA
15.05.,20:15,Arena Premium 2,Fudbal,"Salford City - Grimsby, polufinale 1, G2",LEAGUE TWO
15.05.,20:20,Arena Premium 4,Hokej,SAD - Švajcarska,SVETSKO PRVENSTVO
15.05.,20:30,Arena Premium 5,Fudbal,Castelon - Cadiz,ŠPANSKA 2. LIGA
15.05.,20:30,Arena Sport 1,Fudbal,Korona - Widzew,POLJSKA LIGA
15.05.,20:30,Arena 1X2,Fudbal,St. Etienne - Rodez,FRANCUSKA 2. LIGA
15.05.,21:00,Arena Premium 1,Fudbal,Aston Villa - Liverpool,ENGLESKA LIGA
15.05.,21:00,Arena Premium 3,Fudbal,"Notts County - Chesterfield, polufinale 2, G2",LEAGUE TWO
16.05.,02:00,Arena Premium 1,Hokej,"Minnesota Wild - Colorado Avalanche, G6",NHL
16.05.,08:40,Adrenalin,Moto Sport,Katalonija: Slobodan Trening 2,MOTO 3
16.05.,09:00,Arena Premium 1,Mali fudbal,Arenino Svetsko Prvenstvo,ARENINO SVETSKO PRVENSTVO
16.05.,09:25,Adrenalin,Moto Sport,Katalonija: Slobodan Trening 2,MOTO 2
16.05.,10:10,Adrenalin,Moto Sport,Katalonija: Slobodan Trening 2,MOTO GP
16.05.,10:50,Adrenalin,Moto Sport,Katalonija: Kvalifikacije 1,MOTO GP
16.05.,11:15,Adrenalin,Moto Sport,Katalonija: Kvalifikacije 2,MOTO GP
16.05.,12:15,Arena Premium 4,Hokej,Slovačka - Norveška,SVETSKO PRVENSTVO
16.05.,12:45,Adrenalin,Moto Sport,Katalonija: Kvalifikacije 1,MOTO 3
16.05.,13:00,Arena Premium 3,Atletika,Šangaj,DIJAMANTSKA LIGA
16.05.,13:10,Adrenalin,Moto Sport,Katalonija: Kvalifikacije 2,MOTO 3
16.05.,13:30,Arena Premium 1,Fudbal,Celtic - Hearts,ŠKOTSKA LIGA
16.05.,13:40,Adrenalin,Moto Sport,Katalonija: Kvalifikacije 1,MOTO 2
16.05.,14:00,Arena Sport 8,Moto Sport,"Češka, Trka 1",SUPERBIKE WORLD CHAMPIONSHIP
16.05.,14:05,Adrenalin,Moto Sport,Katalonija: Kvalifikacije 2,MOTO 2
16.05.,14:15,Arena Sport 1,Basket 3x3,"Zadar, četvrtfinala",FIBA 3x3 World Tour
16.05.,14:30,Arena Premium 5,Košarka,Bahcesehir - Fenerbahce,TURSKA LIGA
16.05.,15:00,Arena Sport 8,Rukomet,"Thuringer - Viborg, polufinale 1",EHF LIGA EVROPE (Ž)
16.05.,15:00,Adrenalin,Moto Sport,Katalonija: Sprint,MOTO GP
16.05.,15:15,Arena Sport 7,Košarka,"Kolossos - Olympiacos, G2",GRČKA LIGA
16.05.,15:30,Arena Premium 2,Fudbal,Bayern - Koln,NEMAČKA LIGA
16.05.,15:30,Arena Premium 3,Fudbal,Werder Bremen - Dortmund,NEMAČKA LIGA
16.05.,15:30,Arena Premium 4,Fudbal,Freiburg - Leipzig,NEMAČKA LIGA
16.05.,15:30,Arena Sport 2,Fudbal,Frankfurt - Stuttgart,NEMAČKA LIGA
16.05.,15:30,Arena Sport 3,Fudbal,Bayer Leverkusen - HSV,NEMAČKA LIGA
16.05.,15:30,Arena Sport 4,Fudbal,B. Monchengladbach - Hoffenheim,NEMAČKA LIGA
16.05.,15:30,Arena Sport 5,Fudbal,Heidenheim - Mainz,NEMAČKA LIGA
16.05.,15:30,Arena Sport 6,Fudbal,St. Pauli - Wolfsburg,NEMAČKA LIGA
16.05.,15:30,Arena 1X2,Fudbal,Multiprenos,NEMAČKA LIGA
16.05.,16:00,Arena Premium 1,Fudbal,"Chelsea - Manchester City, finale",FA CUP
16.05.,16:15,Arena Sport 9,Hokej,Italija - Kanada,SVETSKO PRVENSTVO
16.05.,16:30,Arena Premium 5,Fudbal,Porto - Santa Clara,PORTUGALSKA LIGA
16.05.,17:00,Arena Tenis,Tenis,WTA Finale,ATP/WTA 1000 - Rome
16.05.,17:00,Arena Sport 1,Basket 3x3,"Zadar, polufinala i finale",FIBA 3x3 World Tour
16.05.,17:00,Arena Sport 8,Odbojka,"Projekt Warszawa - Perugia, polufinale 1",LIGA ŠAMPIONA
16.05.,17:30,Arena Premium 2,Fudbal,Wisla - Gornik,POLJSKA LIGA
16.05.,18:00,Arena Premium 3,Rukomet,"Dijon - Esztergom, polufinale 2",EHF LIGA EVROPE (Ž)
16.05.,18:00,Arena Sport 7,Američki fudbal,Geulfi Firenze - Belgrade Blue Dragons,CENTRAL EUROPEAN FOOTBALL LEAGUE
16.05.,18:30,Arena Premium 4,Košarka,"Milano - Reggio Emilia, G1",ITALIJANSKA LIGA
16.05.,18:30,Arena Premium 5,Košarka,"Bamberg - Ulm, G1",NEMAČKA LIGA
16.05.,18:30,Arena Sport 4,Fudbal,Racing - Valladolid,ŠPANSKA 2. LIGA
16.05.,18:30,Arena Sport 6,Fudbal,Almeria - Las Palmas,ŠPANSKA 2. LIGA
16.05.,19:00,Arena Premium 1,Košarka,Paris - Asvel,FRANCUSKA LIGA
16.05.,19:00,Arena Sport 1,Košarka,Nanterre - Cholet,FRANCUSKA LIGA
16.05.,20:00,Arena Sport 5,Fudbal,"Winner A - Monza, polufinale 1 G1",ITALIJANSKA 2. LIGA
16.05.,20:00,Arena Sport 10,Fudbal,MULTIPRENOS,SUPERLIGA 
16.05.,20:15,Arena Sport 7,Hokej,Slovenija - Češka,SVETSKO PRVENSTVO
16.05.,20:30,Arena Premium 4,Košarka,"Brescia - Trieste, G1",ITALIJANSKA LIGA
16.05.,20:30,Arena Premium 5,Odbojka,"Zawiercie - Ziraat, polufinale 2",LIGA ŠAMPIONA
16.05.,20:30,Arena Sport 6,Košarka,"Bonn - Wurzburg, G1",NEMAČKA LIGA
16.05.,21:30,Arena Premium 1,Fudbal,Sporting - Gil Vicente,PORTUGALSKA LIGA
16.05.,21:30,Arena Sport 1,Fudbal,Estoril - Benfica,PORTUGALSKA LIGA
17.05.,00:00,Arena Premium 1,Fudbal,Polufinale 1,ARGENTINSKA LIGA
17.05.,00:00,Arena Premium 2,Fudbal,Fluminense - Sao Paulo,BRAZILSKA LIGA
17.05.,01:00,Arena Premium 3,Hokej,"Vegas Golden Knights - Anaheim Ducks, G7 TBD",NHL
17.05.,02:00,Arena Premium 2,Fudbal,Palmeiras - Cruzeiro,BRAZILSKA LIGA
17.05.,08:00,Arena Premium 2,Atletika,SEIKO Golden Grand Prix,World Athletics Continental Tour
17.05.,09:00,Arena Premium 1,Mali fudbal,Arenino Svetsko Prvenstvo,ARENINO SVETSKO PRVENSTVO
17.05.,11:00,Adrenalin,Moto Sport,Katalonija: Trka,MOTO 3
17.05.,11:10,Arena Sport 8,Moto Sport,"Češka, Superpole Race",SUPERBIKE WORLD CHAMPIONSHIP
17.05.,12:00,Arena Premium 5,Košarka,"Zenit - UNICS, G3",VTB LIGA
17.05.,12:00,Arena Tenis,Tenis,WTA Dubl Finale,ATP/WTA 1000 - Rome
17.05.,12:15,Adrenalin,Moto Sport,Katalonija: Trka,MOTO 2
17.05.,12:15,Arena 1X2,Fudbal,Piast - Rakow,POLJSKA LIGA
17.05.,12:30,Arena Premium 2,Fudbal,Roma - Lazio,ITALIJANSKA LIGA
17.05.,12:30,Arena Premium 3,Fudbal,Genoa - Milan,ITALIJANSKA LIGA
17.05.,12:30,Arena Premium 4,Fudbal,Pisa - Napoli,ITALIJANSKA LIGA
17.05.,12:30,Arena Sport 1,Fudbal,Juventus - Fiorentina,ITALIJANSKA LIGA
17.05.,12:30,Arena Sport 2,Fudbal,Como - Parma,ITALIJANSKA LIGA
17.05.,12:30,Arena Sport 3,Košarka,Real Madrid - Joventut,ŠPANSKA LIGA
17.05.,13:30,Arena Premium 1,Fudbal,Manchester United - Nottingham Forest,ENGLESKA LIGA
17.05.,13:30,Arena Sport 4,Hokej,"AK Bars - Lokomotiv, finale G4",KHL
17.05.,14:00,Arena Tenis,Tenis,ATP Dubl Finale,ATP/WTA 1000 - Rome
17.05.,14:00,Adrenalin,Moto Sport,Katalonija: Trka,MOTO GP
17.05.,14:15,Arena Sport 8,Košarka,"Mykonos - Panathinaikos, G2",GRČKA LIGA
17.05.,14:30,Arena Sport 2,Fudbal,Sturm - Rapid,AUSTRIJSKA LIGA
17.05.,14:30,Arena Sport 3,Fudbal,Austria - LASK,AUSTRIJSKA LIGA
17.05.,14:30,Arena Sport 7,Fudbal,PSV - Twente,HOLANDSKA LIGA
17.05.,15:00,Arena Premium 2,Fudbal,Inter - Verona,ITALIJANSKA LIGA
17.05.,15:00,Arena Sport 9,Rukomet,Meč za 3.mesto,EHF LIGA EVROPE (Ž)
17.05.,15:00,Arena Sport 10,Košarka,Finale U15 Pionirke,
17.05.,15:30,Arena Sport 5,Fudbal,Schalke - E. Braunschweig,NEMAČKA 2. LIGA
17.05.,15:30,Arena Sport 6,Fudbal,Darmstadt - Paderborn,NEMAČKA 2. LIGA
17.05.,16:00,Arena Premium 3,Fudbal,Leeds - Brighton,ENGLESKA LIGA
17.05.,16:00,Arena Premium 4,Fudbal,Brentford - Crystal Palace,ENGLESKA LIGA
17.05.,16:00,Arena Premium 5,Fudbal,Everton - Sunderland,ENGLESKA LIGA
17.05.,16:00,Arena Sport 1,Rukomet,"Mihalovce - Guardes, finale G1",EHF EUROCUP (Ž)
17.05.,16:00,Arena Sport 4,Fudbal,Wolverhampton - Fulham,ENGLESKA LIGA
17.05.,16:00,Adrenalin,Moto Sport,Madrid - Round 2,DRIFT MASTERS
17.05.,16:00,Arena 1X2,Fudbal,Multiprenos,ENGLESKA LIGA
17.05.,16:30,Arena Sport 7,Košarka,"Bayern - tbc, G1",NEMAČKA LIGA
17.05.,16:30,Arena Sport 8,Fudbal,St.Gallen - Thun,ŠVAJCARSKA LIGA
17.05.,17:00,Arena Premium 2,Fudbal,CSKA - Lokomotiv,RUSKA LIGA
17.05.,17:00,Arena Tenis,Tenis,ATP Finale,ATP/WTA 1000 - Rome
17.05.,17:00,Arena Sport 2,Fudbal,Rostov - Zenit,RUSKA LIGA
17.05.,17:00,Arena Sport 3,Fudbal,Krasnodar - Orenburg,RUSKA LIGA
17.05.,17:00,Arena Sport 9,Odbojka,Meč za 3.mesto,LIGA ŠAMPIONA
17.05.,18:00,Arena Sport 1,Fudbal,Atalanta - Bologna,ITALIJANSKA LIGA
17.05.,18:00,Arena Sport 4,Rukomet,FINALE,EHF LIGA EVROPE (Ž)
17.05.,18:30,Arena Premium 5,Fudbal,Newcastle - West Ham,ENGLESKA LIGA
17.05.,18:30,Arena Sport 5,Fudbal,AEK - Olympiacos,GRČKA LIGA
17.05.,18:30,Arena Sport 7,Fudbal,Panathinaikos - PAOK,GRČKA LIGA
17.05.,19:00,Arena Premium 2,Fudbal,Barcelona - Betis,ŠPANSKA LIGA
17.05.,19:00,Arena Premium 3,Fudbal,Sevilla - Real Madrid,ŠPANSKA LIGA
17.05.,19:00,Arena Premium 4,Fudbal,Atletico - Girona,ŠPANSKA LIGA
17.05.,19:00,Arena Sport 2,Fudbal,Real Sociedad - Valencia,ŠPANSKA LIGA
17.05.,19:00,Arena Sport 3,Fudbal,Athletic - Celta,ŠPANSKA LIGA
17.05.,19:00,Arena Sport 6,Fudbal,Rayo Vallecano - Villarreal,ŠPANSKA LIGA
17.05.,19:00,Arena Sport 8,Košarka,"Virtus Bologna - Trentino, G1",ITALIJANSKA LIGA
17.05.,19:00,Arena Sport 9,Fudbal,Kasimpasa - Galatasaray,TURSKA LIGA
17.05.,19:00,Adrenalin,Moto Sport,All-Star Race,NASCAR CUP SERIES
17.05.,19:00,Arena 1X2,Fudbal,Multiprenos,ŠPANSKA LIGA
17.05.,20:00,Arena Sport 1,Košarka,Tenerife - Barcelona,ŠPANSKA LIGA
17.05.,20:30,Arena Premium 5,Odbojka,FINALE,LIGA ŠAMPIONA
17.05.,20:45,Arena Sport 4,Fudbal,Cagliari - Torino,ITALIJANSKA LIGA
17.05.,20:45,Arena Sport 5,Fudbal,Sassuolo - Lecce,ITALIJANSKA LIGA
17.05.,20:45,Arena Sport 7,Fudbal,Udinese - Cremonese,ITALIJANSKA LIGA
17.05.,21:00,Arena Premium 2,Fudbal,Paris - PSG,FRANCUSKA LIGA
17.05.,21:00,Arena Premium 3,Fudbal,Marseille - Rennes,FRANCUSKA LIGA
17.05.,21:00,Arena Premium 4,Fudbal,Lyon - Lens,FRANCUSKA LIGA
17.05.,21:00,Arena Sport 2,Fudbal,Strasbourg - Monaco,FRANCUSKA LIGA
17.05.,21:00,Arena Sport 3,Fudbal,Lille - Auxerre,FRANCUSKA LIGA
17.05.,21:00,Arena Sport 6,Fudbal,Nantes - Toulouse,FRANCUSKA LIGA
17.05.,21:00,Arena Sport 8,Fudbal,Botafogo - Corinthians,BRAZILSKA LIGA
17.05.,21:00,Arena Sport 9,Fudbal,Nice - Metz,FRANCUSKA LIGA
17.05.,21:00,Arena 1X2,Fudbal,Multiprenos,FRANCUSKA LIGA
17.05.,21:30,Arena Premium 1,Košarka,"Conference Semifinals, G7*",NBA
17.05.,22:30,Adrenalin,Moto Sport,"Češka, Trka 2",SUPERBIKE WORLD CHAMPIONSHIP
18.05.,00:30,Arena Premium 1,Fudbal,Atletico PR - Flamengo,BRAZILSKA LIGA
18.05.,01:00,Arena Premium 2,Hokej,"Colorado Avalanche - Minnesota Wild, G7 TBD",NHL
18.05.,12:00,Arena Tenis,Tenis,"Centralni teren, dan 1",ATP 500 - Hamburg
18.05.,16:20,Arena Premium 2,Hokej,Finska - SAD,SVETSKO PRVENSTVO
18.05.,16:20,Arena Premium 3,Hokej,Kanada - Danska,SVETSKO PRVENSTVO
18.05.,18:30,Arena Sport 2,Košarka,"Bonn - Wurzburg, G2",NEMAČKA LIGA
18.05.,19:00,Arena Premium 3,Košarka,"Lokomotiv - CSKA, G3",VTB LIGA
18.05.,19:00,Arena Premium 4,Rukomet,Finale G1,SUPERLIGA SRBIJE Ž
18.05.,19:00,Arena Sport 3,Fudbal,Arka - Bruk-Bet Termalica,POLJSKA LIGA
18.05.,20:00,Arena Premium 5,Košarka,"Brescia - Trieste, G2",ITALIJANSKA LIGA
18.05.,20:20,Arena Sport 4,Hokej,Švedska - Češka,SVETSKO PRVENSTVO
18.05.,20:20,Arena Sport 5,Hokej,Nemačka - Švajcarska,SVETSKO PRVENSTVO
18.05.,20:30,Arena Sport 2,Košarka,"Bamberg - Ulm, G2",NEMAČKA LIGA
18.05.,20:45,Arena Premium 4,Košarka,"Milano - Reggio Emilia, G2",ITALIJANSKA LIGA
18.05.,21:00,Arena Premium 2,Fudbal,Arsenal - Burnley,ENGLESKA LIGA
